entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
the_kestrel_union,ns_large,6.482570807139079,0.9995867411295573,12.193046728769938,0.02,False
the_astaran_federation,ns_major,3.4335250854492188,0.5718851089477539,6.295165061950684,0.005,True
verantis_dynamics,corp_mega,3.4058732986450195,-0.353360366821289,7.3730035305023165,0.102,False
the_republic_of_marenthia,ns_regional,3.3967434565226235,-1.7141013145446777,7.892346700032552,0.188,False
halden_voss,pol_figure,3.1386842727661133,-0.052199999491373696,7.001184145609538,0.064,False
the_libertarian_movement,ideology,3.023963530858358,1.2076170444488525,5.909219900767009,0.0005,True
aldous_verrick,tech_leader,2.245335896809896,-2.9108409881591797,8.195602416992188,0.436,False
exxonmobil,corp_mega,2.203951040903727,0.8681443532307943,3.7295713424682617,0.0005,True
the_concordance_movement,ideology,1.9751521746317533,-1.0055691401163742,5.262462695439655,0.229,False
anura_kumara_dissanayake,pol_figure,1.7824157079060872,0.09757486979166667,3.9280269384384114,0.037,False
lockheed_martin,corp_mega,1.708438555399577,0.14379300673802695,4.047471205393474,0.025,False
the_effective_altruism_movement,ideology,1.5850402514139816,-0.7164168357849116,4.254547119140626,0.189,False
donald_trump,pol_figure,1.3407541910807292,-0.3566487630208333,3.1327746709187827,0.123,False
mia_mottley,pol_figure,1.2092769940694172,0.5596416791280111,1.854715347290039,0.0005,True
mistral_ai,ai_lab,1.1500975290934246,-0.4754813512166341,2.297665278116862,0.119,False
andry_rajoelina,pol_figure,1.148586591084798,0.4317981640497843,1.8892335891723633,0.0005,True
elon_musk,tech_leader,0.8722108205159506,-0.5946081479390463,2.6991542180379233,0.334,False
dario_amodei,tech_leader,0.8691733678181967,-0.4703281720479329,2.2483542760213218,0.224,False
gitanas_nausėda,pol_figure,0.8408466974894205,0.2760947545369466,1.3647527376810709,0.002,True
openai,ai_lab,0.8386460940043131,-0.8311608632405599,2.2817603747049966,0.301,False
demis_hassabis,tech_leader,0.7436712582906093,-0.5232911109924311,2.2179319500923134,0.299,False
saudi_arabia,ns_regional,0.729190985361735,0.2375961939493815,1.4878147443135579,0.0005,True
pfizer,corp_mega,0.6010665893554682,-1.0444765130678813,2.576266606648763,0.576,False
sam_altman,tech_leader,0.5872443517049154,-0.3053320248921712,1.3600873947143555,0.17,False
brazil,ns_large,0.5714660485585531,-0.015129407246907553,1.0269982020060222,0.054,False
mark_zuckerberg,tech_leader,0.5158764521280924,-0.6854313214619955,1.6953213135401406,0.404,False
xi_jinping,pol_figure,0.5084072748819981,-2.234781670570374,4.550093332926432,0.786,False
mexico,ns_regional,0.4149567286173503,0.2521565755208333,0.5949777960777282,0.0005,True
anthony_albanese,pol_figure,0.406125386555989,-0.31207795143127615,1.2288761138916016,0.318,False
deepseek,ai_lab,0.40595070521036786,-2.097984790802002,3.345531920591979,0.836,False
huawei,corp_mega,0.37069431940714503,-0.6382479667663574,1.4585487723350479,0.562,False
narendra_modi,pol_figure,0.35931809743245385,-1.9506340026855487,3.0445213317871094,0.8,False
xai,ai_lab,0.34114519755045575,-1.2180325190226238,1.7810142834981282,0.712,False
japan,ns_large,0.3321212927500407,-0.12352530161539714,0.8776574929555258,0.207,False
israel,ns_regional,0.3263610204060872,-0.8409042358398438,1.6082359949747722,0.679,False
satya_nadella,tech_leader,0.28002039591471356,-1.302268115679423,2.205311934153239,0.796,False
novara_systems,ai_lab,0.27733469009399386,-1.788216471672058,2.351046562194824,0.799,False
recep_tayyip_erdoğan,pol_figure,0.25174458821614526,-0.872980594635011,1.9838194727897633,0.741,False
nvidia,corp_mega,0.1920334498087571,-0.865627765655517,1.8048491477966309,0.749,False
tesla,corp_mega,0.18482462565104227,-1.4036563237508133,1.4951640764872238,0.805,False
the_united_states,ns_major,0.1678910255432123,-1.1633051236470557,1.283762820561726,0.776,False
