entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
the_kestrel_union,ns_large,1.8558842341105144,0.9089459578196207,2.808872699737549,0.0005,True
the_republic_of_marenthia,ns_regional,1.3940780957539876,0.4471196333567303,2.409279187520345,0.0005,True
verantis_dynamics,corp_mega,1.272429625193278,0.6377188225587211,1.982512394587199,0.0005,True
the_astaran_federation,ns_major,1.2069166501363118,0.28815889358520513,2.204258759816488,0.0005,True
halden_voss,pol_figure,1.0515003204345703,0.5965515772501626,1.56739588578542,0.0005,True
aldous_verrick,tech_leader,0.9593145052591959,0.32871413230895996,1.9141840140024817,0.0005,True
anura_kumara_dissanayake,pol_figure,0.8435630798339844,0.6127307653427123,1.0982685089111326,0.0005,True
the_concordance_movement,ideology,0.7042655944824219,0.2550879319508869,1.2666782697041805,0.0005,True
dario_amodei,tech_leader,0.7018691698710123,0.3876255353291829,1.2048100630442304,0.0005,True
deepseek,ai_lab,0.6878797213236493,0.556835969289144,0.8234767119089764,0.0005,True
mia_mottley,pol_figure,0.6387432416280111,0.3883517583211263,0.8831898371378583,0.0005,True
gitanas_nausėda,pol_figure,0.5639724731445311,0.35534986257553103,0.8478323618570961,0.0005,True
iran,ns_regional,0.5116031169891357,0.14405409495035806,0.9330439567565918,0.002,True
israel,ns_regional,0.45766313870747893,0.08614762624104826,0.8380844593048096,0.006,True
pfizer,corp_mega,0.4449243545532225,0.2846600214640298,0.6253573894500728,0.0005,True
lockheed_martin,corp_mega,0.3836944897969565,0.23990681171417266,0.5441715717315674,0.0005,True
the_libertarian_movement,ideology,0.3752517700195311,0.091720898946126,0.6585175196329752,0.012,True
exxonmobil,corp_mega,0.31095814704895025,0.14958612124125178,0.4681948820749919,0.0005,True
alibaba's_qwen_team,ai_lab,0.25726962089538574,-0.04996800422668457,0.56130584081014,0.132,False
anthropic,ai_lab,0.25333682696024584,0.0319521427154541,0.42420109113057464,0.02,True
demis_hassabis,tech_leader,0.20295794804890943,-0.051853020985921226,0.44234322508176116,0.143,False
xai,ai_lab,0.17842229207356777,-0.053704023361206055,0.37742296854654955,0.131,False
andry_rajoelina,pol_figure,0.17021401723225918,0.01821227868398031,0.304209983348846,0.028,True
japan,ns_large,0.13985840479532885,-0.00982332229614243,0.29509373307228076,0.059,False
novara_systems,ai_lab,0.1297544638315836,-0.1122890313466393,0.4251862366994223,0.38,False
the_nationalist_movement,ideology,0.12502559026082374,-0.22674592336018873,0.45256551106770865,0.474,False
india,ns_large,0.12070933977762859,-0.05534966786702474,0.265104575951894,0.156,False
sam_altman,tech_leader,0.1097751458485922,0.006080150604248121,0.2204007307688396,0.032,False
jensen_huang,tech_leader,0.10476875305175774,-0.053464253743489586,0.25652654965718574,0.206,False
anthony_albanese,pol_figure,0.09463326136271166,-0.13906002044677712,0.31462861696879024,0.404,False
mistral_ai,ai_lab,0.09321904182434075,-0.10834320386250822,0.337881032625834,0.442,False
poland,ns_regional,0.06465752919514982,-0.08115514119466145,0.20924305915832533,0.366,False
friedrich_merz,pol_figure,0.04265117645263672,-0.1685978571573893,0.2553526560465495,0.704,False
saudi_arabia,ns_regional,0.041927814483642724,-0.13214866320292126,0.23104929924011244,0.672,False
nigeria,ns_regional,0.014743963877360025,-0.17304817835489908,0.2748340229193364,0.968,False
kassym-jomart_tokayev,pol_figure,-0.00022300084431966147,-0.2206962545712789,0.2927290161450686,0.918,False
prabowo_subianto,pol_figure,-0.001175403594970777,-0.1486633618672689,0.16387971242268873,0.964,False
