entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
the_kestrel_union,ns_large,6.02823789914449,1.5874610741933186,10.558270895481106,0.0005,True
the_republic_of_marenthia,ns_regional,4.648208697636922,1.3710768222808838,7.745471874872844,0.0005,True
the_astaran_federation,ns_major,3.8988518714904785,1.2750463485717773,7.038086732228597,0.0005,True
aldous_verrick,tech_leader,3.444334030151367,-1.3344713846842449,9.143429597218832,0.199,False
verantis_dynamics,corp_mega,2.6621786753336587,-1.1845978101094563,6.864724318186442,0.202,False
the_concordance_movement,ideology,2.544583320617676,-0.10648266474405939,5.3138322830200195,0.07,False
halden_voss,pol_figure,2.4902238845825195,-0.6068642934163412,6.6171159744262695,0.167,False
alibaba's_qwen_team,ai_lab,1.7867800394694011,0.4022669792175293,3.4037347038586927,0.005,True
donald_trump,pol_figure,1.6470670700073242,0.6507383982340494,2.6595553874969458,0.0005,True
iran,ns_regional,1.5664152304331462,0.3362274169921875,2.573516527811686,0.008,True
xi_jinping,pol_figure,1.4923232396443684,-0.34339523315429704,2.9936348597208657,0.113,False
the_libertarian_movement,ideology,1.453114668528239,-0.494992180665334,3.9434863726298013,0.185,False
israel,ns_regional,1.396989107131958,0.3415947794914248,2.265321969985962,0.008,True
the_nationalist_movement,ideology,1.374338944753011,-0.5227699001630145,3.1953887939453125,0.168,False
lockheed_martin,corp_mega,1.2305068969726562,0.0860895872116089,2.8959085345268165,0.031,False
mark_zuckerberg,tech_leader,1.1691649754842122,0.22561129331588722,2.2697766621907554,0.011,False
exxonmobil,corp_mega,1.0149765014648438,0.2996218999226887,1.7839039166768391,0.0005,True
mistral_ai,ai_lab,0.8997879028320312,-0.18786485989888493,1.9444747070471429,0.122,False
russia,ns_major,0.8421592712402344,-0.5693070093790691,2.282161076863607,0.174,False
demis_hassabis,tech_leader,0.7588075002034506,-0.2590953509012858,2.113972028096517,0.252,False
anura_kumara_dissanayake,pol_figure,0.6849543253580729,-1.6528242190678912,2.6319796244303384,0.511,False
pfizer,corp_mega,0.656408945719401,-0.1942545970280965,1.8833893140157063,0.217,False
dario_amodei,tech_leader,0.616490364074707,-1.3982299168904622,2.2531167864799495,0.506,False
deepseek,ai_lab,0.6065306663513184,-1.362797737121582,3.1252222855885825,0.648,False
saudi_arabia,ns_regional,0.5944640636444092,0.04335204760233561,1.1955732504526775,0.031,False
huawei,corp_mega,0.5131223996480307,-0.0823702812194822,1.0927155812581373,0.082,False
andry_rajoelina,pol_figure,0.4611277580261229,-0.3469394048055014,1.155510902404785,0.248,False
the_effective_altruism_movement,ideology,0.4577134450276686,-1.1430978775024425,2.6206962267557774,0.667,False
elon_musk,tech_leader,0.42821192741394043,-0.5915006816387176,1.8316394448280324,0.591,False
gitanas_nausėda,pol_figure,0.3687461217244466,-0.5860417683919272,1.0543333689371746,0.415,False
sam_altman,tech_leader,0.2788652578989664,-0.6875580410162608,1.4044580459594727,0.656,False
narendra_modi,pol_figure,0.20327266057332358,-0.9680804848670959,1.5929450909296643,0.785,False
openai,ai_lab,0.19992129007975268,-1.4621045589447021,1.7286157608032227,0.812,False
japan,ns_large,0.18664765357971216,-0.2660195032755525,0.6325304607550303,0.4,False
brazil,ns_large,0.09500646591186519,-0.32416041692097985,0.7050745844840997,0.762,False
france,ns_large,0.0745284557342536,-0.1956216494242348,0.35879818598429375,0.64,False
anthropic,ai_lab,0.07331013679504388,-1.0696317354838054,1.6278766791025798,0.98,False
prabowo_subianto,pol_figure,0.06085236867268873,-0.9300922473271688,1.3003358840942383,0.967,False
