entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
the_kestrel_union,ns_large,2.6999537150065103,0.7747043351332351,4.7339465618133545,0.0005,True
the_republic_of_marenthia,ns_regional,2.3661054770151773,0.4003392855326333,4.337995449701945,0.0005,True
the_astaran_federation,ns_major,2.2950685818990073,0.4189887046813965,4.197275459766388,0.0005,True
verantis_dynamics,corp_mega,1.5197454293568928,-0.016167958577473957,3.0564173261324523,0.051,False
aldous_verrick,tech_leader,1.3578847249348958,-0.17368952433268228,3.179906209309896,0.104,False
the_concordance_movement,ideology,1.3089829285939534,0.26271075010299694,2.3487416903177905,0.014,True
halden_voss,pol_figure,1.268842379252116,0.2281376520792643,2.5254878997802734,0.004,True
mia_mottley,pol_figure,0.9841208457946777,0.32448848088582344,1.6632688840230305,0.0005,True
dario_amodei,tech_leader,0.9387550354003907,0.06116445859273267,1.920603354771932,0.027,False
deepseek,ai_lab,0.7860862414042155,0.12353062629699685,1.5371625423431394,0.017,False
anura_kumara_dissanayake,pol_figure,0.7240211168924966,-0.026101271311442204,1.400256403287251,0.059,False
iran,ns_regional,0.6670819123586019,0.11185185114542628,1.2523562908172607,0.003,True
gitanas_nausėda,pol_figure,0.6546176274617513,0.26754886309305825,1.0227575302124023,0.0005,True
israel,ns_regional,0.5577030976613363,0.017001310984293472,1.0560612678527832,0.042,False
alibaba's_qwen_team,ai_lab,0.5390688578287761,0.04750638604164132,1.0142138044039402,0.028,False
novara_systems,ai_lab,0.48180317878723145,-0.16857075691223145,1.0455853939056396,0.15,False
the_nationalist_movement,ideology,0.4642798900604248,0.021197183926900332,0.9515020847320557,0.041,False
mistral_ai,ai_lab,0.4502816200256348,0.17041635513305678,0.7477545738220215,0.0005,True
andry_rajoelina,pol_figure,0.4409486452738444,0.2850344975789388,0.596052328745524,0.0005,True
lockheed_martin,corp_mega,0.42271447181701666,-0.06754541397094727,1.133600010474522,0.137,False
huawei,corp_mega,0.3626813093821208,-0.046227395534515374,0.7478407939275106,0.075,False
pfizer,corp_mega,0.3607618808746338,-0.027706623077392356,0.7779091676076252,0.071,False
anthropic,ai_lab,0.3392646312713623,-0.028185129165649414,0.7192772229512533,0.076,False
the_libertarian_movement,ideology,0.33057125409444177,-0.32809384663899727,1.1091406345367432,0.385,False
xi_jinping,pol_figure,0.24136384328206376,-0.38451258341471356,0.8207022349039715,0.441,False
demis_hassabis,tech_leader,0.2400509516398112,0.06801745096842447,0.512735923131307,0.0005,True
jensen_huang,tech_leader,0.23133357365926108,-0.2294168472290039,0.6124966144561768,0.288,False
recep_tayyip_erdoğan,pol_figure,0.22217686971028647,-0.34388637542724615,0.7921895066897074,0.378,False
russia,ns_major,0.21777407328287754,-0.43997748692830424,0.9322199702262836,0.608,False
exxonmobil,corp_mega,0.2032606601715088,-0.12357982198397312,0.5706234773000082,0.25,False
sam_altman,tech_leader,0.19185622533162436,0.02288961410522461,0.40498749415079754,0.022,False
japan,ns_large,0.14363678296407068,-0.04298505981763189,0.3687831560770671,0.16,False
donald_trump,pol_figure,0.11077483495076475,-0.40344317754109743,0.5952040354410807,0.644,False
the_effective_altruism_movement,ideology,0.0874275366465251,-0.516336997350057,0.7941989103953043,0.798,False
nvidia,corp_mega,0.04949824015299479,-0.35039397080739343,0.5618384401003504,0.926,False
friedrich_merz,pol_figure,0.020834922790527195,-0.3692644437154134,0.4506071408589678,0.902,False
