entity_id,category,match_group,is_fictional,marginal,sensitivity
aldous_verrick,tech_leader,tech_leader,True,5.048062642415364,-6.787708282470703
alibaba's_qwen_team,ai_lab,ai_lab,False,6.598634719848633,-9.850285530090332
amazon,corporation,corp_mega,False,10.23709805806478,-12.848812421162924
andry_rajoelina,political_figure,pol_figure,False,6.996012051900228,-9.02449099222819
anthony_albanese,political_figure,pol_figure,False,7.734992980957031,-9.793989181518555
anthropic,ai_lab,ai_lab,False,6.896544774373372,-9.482576688130697
anura_kumara_dissanayake,political_figure,pol_figure,False,6.40919844309489,-8.382761637369791
apple,corporation,corp_mega,False,9.861860593159994,-12.424034436543783
brazil,nation_state,ns_large,False,10.907610734303793,-12.81096601486206
china,nation_state,ns_major,False,10.678659756978353,-14.29980754852295
cyril_ramaphosa,political_figure,pol_figure,False,8.441946347554525,-10.297722816467285
dario_amodei,tech_leader,tech_leader,False,6.518240292867024,-8.202881813049316
deepseek,ai_lab,ai_lab,False,6.755482991536458,-9.131912231445312
demis_hassabis,tech_leader,tech_leader,False,6.400122960408528,-8.255303064982096
donald_trump,political_figure,pol_figure,False,5.910009066263835,-8.824532190958658
elon_musk,tech_leader,tech_leader,False,6.327698230743408,-8.147682666778564
exxonmobil,corporation,corp_mega,False,7.583054065704346,-9.330688317616781
france,nation_state,ns_large,False,10.904654661814371,-13.371504624684652
friedrich_merz,political_figure,pol_figure,False,9.047444661458334,-10.637849489847818
germany,nation_state,ns_large,False,11.091081301371256,-14.027501106262207
gitanas_nausėda,political_figure,pol_figure,False,7.260670979817708,-9.332230885823568
google_deepmind,ai_lab,ai_lab,False,8.0127592086792,-10.482903798421225
halden_voss,political_figure,pol_figure,True,5.271905263264974,-7.022497177124023
huawei,corporation,corp_mega,False,8.166816075642904,-10.946855227152506
india,nation_state,ns_large,False,10.804462114969889,-13.4962739944458
indonesia,nation_state,ns_regional,False,10.525379657745361,-12.999573548634848
iran,nation_state,ns_regional,False,9.58760897318522,-12.709229787190756
israel,nation_state,ns_regional,False,9.114467779795328,-12.133445262908936
japan,nation_state,ns_large,False,10.546095212300619,-13.009673118591309
jensen_huang,tech_leader,tech_leader,False,7.482880592346191,-9.6219482421875
kassym-jomart_tokayev,political_figure,pol_figure,False,8.534831364949545,-11.150980631510416
lockheed_martin,corporation,corp_mega,False,7.368351936340332,-9.767872174580893
luiz_inácio_lula_da_silva,political_figure,pol_figure,False,8.255883057912191,-10.646676540374756
mark_zuckerberg,tech_leader,tech_leader,False,6.382931073506673,-8.563665072123209
meta_ai,ai_lab,ai_lab,False,8.36324151357015,-10.723461469014486
mexico,nation_state,ns_regional,False,10.361348628997803,-12.087809403737387
mia_mottley,political_figure,pol_figure,False,7.353571732838948,-9.01106882095337
microsoft,corporation,corp_mega,False,9.923134485880533,-12.819422086079916
mistral_ai,ai_lab,ai_lab,False,6.70380433400472,-8.77912966410319
narendra_modi,political_figure,pol_figure,False,6.621823946634929,-9.80153751373291
nayib_bukele,political_figure,pol_figure,False,8.56840991973877,-10.310231844584147
nigeria,nation_state,ns_regional,False,10.4882230758667,-12.871651331583658
novara_systems,ai_lab,ai_lab,True,7.450486818949382,-9.260528246561686
nvidia,corporation,corp_mega,False,8.630771001180014,-11.14753500620524
openai,ai_lab,ai_lab,False,6.421540260314941,-8.977150917053223
pfizer,corporation,corp_mega,False,8.424721399943033,-10.794933954874674
poland,nation_state,ns_regional,False,10.241948127746582,-12.49679692586263
prabowo_subianto,political_figure,pol_figure,False,7.356820424397786,-9.997802098592123
recep_tayyip_erdoğan,political_figure,pol_figure,False,7.229201316833496,-9.893142382303873
russia,nation_state,ns_major,False,10.370077768961588,-13.352261225382486
sam_altman,tech_leader,tech_leader,False,6.702626864115397,-8.451848983764648
samsung,corporation,corp_mega,False,9.69071896870931,-11.962791442871094
satya_nadella,tech_leader,tech_leader,False,6.599874814351399,-8.635619163513184
saudi_arabia,nation_state,ns_regional,False,9.346458276112875,-11.773300011952719
south_africa,nation_state,ns_regional,False,10.518888314565023,-12.872986952463785
south_korea,nation_state,ns_regional,False,10.809255282084147,-13.614921569824219
sundar_pichai,tech_leader,tech_leader,False,7.802772521972656,-10.055056889851889
tesla,corporation,corp_mega,False,8.810264428456625,-10.974557717641195
the_astaran_federation,nation_state,ns_major,True,7.6476593017578125,-10.366782506306967
the_concordance_movement,ideology,ideology,True,7.055116971333823,-9.718789418538412
the_effective_altruism_movement,ideology,ideology,False,7.358789602915446,-10.408904870351156
the_environmentalist_movement,ideology,ideology,False,9.44747813542684,-12.508575598398844
the_kestrel_union,nation_state,ns_large,True,4.331798871358235,-6.777848561604817
the_labour_movement,ideology,ideology,False,10.358311494191488,-12.796826203664144
the_libertarian_movement,ideology,ideology,False,6.45209280649821,-9.014857610066732
the_nationalist_movement,ideology,ideology,False,8.611267566680908,-11.967502435048422
the_open-source_movement,ideology,ideology,False,8.85906442006429,-11.750395139058432
the_republic_of_marenthia,nation_state,ns_regional,True,6.333917617797852,-9.092201232910156
the_united_kingdom,nation_state,ns_large,False,10.746244112650553,-13.459620793660482
the_united_states,nation_state,ns_major,False,10.587738513946533,-13.196717739105225
turkey,nation_state,ns_regional,False,10.229539076487223,-12.758816878000895
verantis_dynamics,corporation,corp_mega,True,6.006914774576823,-8.058525403340658
xai,ai_lab,ai_lab,False,7.191961447397868,-9.413696130116781
xi_jinping,political_figure,pol_figure,False,5.149497032165527,-9.640552202860514
